iter	RMSE
0	355.7168741
1	352.688486
2	349.6974672
3	346.7277719
4	343.769375
5	340.8381537
6	337.9409683
7	335.0700279
8	332.2679606
9	329.4682191
10	326.7116326
11	323.9941266
12	321.3002166
13	318.6256599
14	315.9677875
15	313.3688791
16	310.8121661
17	308.2577388
18	305.7378647
19	303.2496186
20	300.7887276
21	298.3410272
22	295.9523069
23	293.5692718
24	291.223628
25	288.8984661
26	286.5842928
27	284.3254979
28	282.0660314
29	279.8696427
30	277.7010078
31	275.5529047
32	273.4182519
33	271.323374
34	269.2203561
35	267.1670956
36	265.1492932
37	263.1412736
38	261.168771
39	259.2075574
40	257.2673566
41	255.3429374
42	253.4384309
43	251.5560879
44	249.7278877
45	247.8898882
46	246.0790341
47	244.2694033
48	242.5281211
49	240.800982
50	239.1083425
51	237.4008258
52	235.7134532
53	234.0473752
54	232.4034405
55	230.7917517
56	229.2081317
57	227.6307358
58	226.0588143
59	224.5314066
60	223.0120376
61	221.5326308
62	220.0708041
63	218.6118175
64	217.1595698
65	215.7487978
66	214.3583671
67	212.9878172
68	211.6469446
69	210.2928581
70	208.9475511
71	207.6318157
72	206.3559335
73	205.0883407
74	203.8480073
75	202.61819
76	201.3668869
77	200.1355284
78	198.9413986
79	197.7754215
80	196.6053631
81	195.4446361
82	194.3312921
83	193.2250611
84	192.1076772
85	191.0122285
86	189.9369107
87	188.9003478
88	187.8654667
89	186.8339018
90	185.8316586
91	184.8088753
92	183.827372
93	182.8704308
94	181.9014726
95	180.9573163
96	180.0126561
97	179.1073703
98	178.194079
99	177.2828815
100	176.4209826
101	175.5531072
102	174.7027365
103	173.8338772
104	173.0094387
105	172.1758748
106	171.3629092
107	170.5176951
108	169.6962635
109	168.8498025
110	167.961224
111	167.1843457
112	166.2943805
113	165.4969056
114	164.6465529
115	163.8929386
116	163.0603202
117	162.2649893
118	161.4884864
119	160.7356555
120	159.9623971
121	159.1929865
122	158.4759995
123	157.7311478
124	157.0581821
125	156.385608
126	155.6934066
127	155.0065381
128	154.3643778
