iter	Passed	Remaining
0	32	32352
1	50	25156
2	66	22260
3	87	21693
4	99	19740
5	119	19754
6	145	20575
7	183	22786
8	209	23077
9	228	22635
10	248	22386
11	266	21964
12	287	21809
13	305	21515
14	322	21147
15	338	20793
16	354	20486
17	371	20260
18	386	19979
19	416	20387
20	440	20552
21	456	20302
22	473	20111
23	489	19894
24	504	19675
25	519	19473
26	535	19302
27	552	19166
28	567	18993
29	584	18884
30	604	18889
31	624	18901
32	641	18798
33	660	18770
34	679	18730
35	696	18657
36	713	18563
37	729	18477
38	746	18387
39	764	18346
40	782	18295
41	799	18246
42	817	18189
43	834	18123
44	851	18068
45	868	18018
46	885	17946
47	903	17912
48	920	17859
49	938	17823
50	956	17806
51	973	17754
52	990	17700
53	1011	17722
54	1027	17662
55	1044	17612
56	1061	17553
57	1077	17498
58	1094	17450
59	1112	17426
60	1128	17376
61	1146	17347
62	1169	17399
63	1195	17481
64	1213	17454
65	1230	17410
66	1247	17368
67	1263	17319
68	1280	17274
69	1301	17296
70	1336	17486
71	1354	17458
72	1371	17410
73	1387	17366
74	1404	17320
75	1422	17290
76	1439	17253
77	1458	17239
78	1475	17196
79	1490	17144
80	1506	17087
81	1518	17002
82	1534	16954
83	1550	16911
84	1566	16865
85	1582	16815
86	1601	16810
87	1617	16761
88	1633	16720
89	1650	16683
90	1666	16642
91	1681	16593
92	1696	16547
93	1712	16501
94	1731	16490
95	1747	16458
96	1765	16433
97	1780	16389
98	1798	16364
99	1806	16258
100	1822	16222
101	1839	16193
102	1855	16163
103	1871	16122
104	1887	16085
105	1902	16046
106	1918	16007
107	1934	15981
108	1952	15960
109	1967	15921
110	1986	15908
111	1998	15846
112	2014	15812
113	2031	15787
114	2050	15783
115	2076	15825
116	2093	15798
117	2110	15774
118	2127	15753
119	2147	15746
120	2165	15728
121	2181	15697
122	2196	15661
123	2212	15629
124	2227	15591
125	2242	15558
126	2259	15529
127	2275	15500
128	2292	15479
129	2308	15451
130	2324	15418
131	2339	15384
132	2354	15350
133	2371	15325
134	2388	15303
135	2404	15277
136	2413	15202
137	2432	15196
138	2448	15168
139	2464	15137
140	2479	15106
141	2497	15088
142	2514	15070
143	2530	15042
144	2549	15030
145	2568	15021
146	2584	14997
147	2601	14975
148	2618	14955
149	2635	14933
150	2651	14907
151	2666	14878
152	2683	14853
153	2699	14827
154	2715	14805
155	2732	14781
156	2750	14768
157	2768	14751
158	2783	14724
159	2800	14700
160	2817	14681
161	2834	14661
162	2850	14639
163	2867	14617
164	2884	14595
165	2901	14577
166	2918	14557
167	2934	14532
168	2949	14505
169	2965	14479
170	2981	14454
171	2997	14431
172	3014	14409
173	3033	14400
174	3058	14418
175	3077	14409
176	3093	14386
177	3110	14364
178	3130	14358
179	3166	14423
180	3185	14414
181	3201	14389
182	3217	14364
183	3233	14341
184	3251	14323
185	3267	14298
186	3283	14276
187	3300	14255
188	3317	14235
189	3334	14214
190	3350	14191
191	3366	14167
192	3370	14094
193	3385	14067
194	3400	14038
195	3415	14009
196	3430	13982
197	3446	13960
198	3461	13932
199	3476	13905
200	3491	13880
201	3507	13856
202	3523	13831
203	3539	13810
204	3558	13801
205	3579	13796
206	3599	13788
207	3615	13768
208	3634	13756
209	3651	13738
210	3670	13726
211	3689	13712
212	3707	13697
213	3744	13752
214	3769	13761
215	3791	13761
216	3812	13757
217	3836	13762
218	3857	13755
219	3878	13750
220	3899	13745
221	3915	13722
222	3931	13697
223	3947	13673
224	3961	13646
225	3977	13620
226	3993	13598
227	4008	13573
228	4024	13551
229	4042	13532
230	4063	13528
231	4087	13531
232	4112	13537
233	4135	13538
234	4159	13541
235	4185	13550
236	4216	13573
237	4251	13613
238	4272	13604
239	4294	13599
240	4315	13589
241	4338	13590
242	4366	13603
243	4397	13624
244	4429	13649
245	4456	13659
246	4485	13674
247	4510	13677
248	4530	13664
249	4547	13641
250	4564	13622
251	4583	13604
252	4601	13586
253	4619	13567
254	4637	13548
255	4658	13538
256	4681	13535
257	4703	13527
258	4730	13535
259	4767	13567
260	4803	13599
261	4828	13600
262	4852	13598
263	4877	13598
264	4899	13588
265	4921	13581
266	4943	13571
267	4962	13553
268	4979	13530
269	4995	13505
270	5011	13481
271	5028	13458
272	5044	13433
273	5062	13413
274	5082	13398
275	5102	13384
276	5122	13371
277	5146	13365
278	5158	13331
279	5181	13323
280	5203	13314
281	5221	13295
282	5238	13270
283	5253	13244
284	5270	13222
285	5288	13201
286	5305	13181
287	5323	13162
288	5343	13145
289	5364	13133
290	5385	13121
291	5408	13113
292	5430	13103
293	5446	13079
294	5461	13051
295	5476	13025
296	5492	13000
297	5507	12974
298	5523	12950
299	5545	12939
300	5563	12920
301	5583	12906
302	5604	12891
303	5623	12875
304	5643	12860
305	5664	12846
306	5686	12835
307	5707	12822
308	5723	12799
309	5740	12776
310	5757	12755
311	5774	12733
312	5795	12721
313	5818	12712
314	5835	12689
315	5851	12665
316	5868	12643
317	5885	12622
318	5902	12599
319	5919	12578
320	5938	12560
321	5955	12540
322	5977	12527
323	6002	12523
324	6022	12507
325	6041	12491
326	6061	12475
327	6080	12458
328	6096	12433
329	6111	12408
330	6126	12382
331	6143	12361
332	6161	12340
333	6176	12315
334	6192	12291
335	6210	12272
336	6229	12255
337	6253	12248
338	6274	12235
339	6299	12228
340	6323	12220
341	6345	12207
342	6364	12189
343	6380	12167
344	6396	12144
345	6412	12121
346	6431	12102
347	6448	12081
348	6465	12060
349	6483	12040
350	6499	12017
351	6515	11995
352	6531	11972
353	6548	11949
354	6564	11927
355	6580	11904
356	6597	11883
357	6613	11860
358	6630	11838
359	6646	11816
360	6667	11801
361	6683	11778
362	6706	11767
363	6727	11754
364	6749	11741
365	6771	11729
366	6798	11725
367	6826	11724
368	6844	11703
369	6860	11681
370	6878	11662
371	6895	11640
372	6912	11619
373	6930	11600
374	6951	11586
375	6956	11545
376	6981	11537
377	7003	11525
378	7027	11515
379	7052	11506
380	7065	11478
381	7103	11491
382	7133	11491
383	7138	11450
384	7154	11427
385	7169	11403
386	7184	11379
387	7201	11358
388	7217	11336
389	7233	11313
390	7248	11290
391	7266	11270
392	7285	11251
393	7307	11238
394	7328	11224
395	7347	11206
396	7366	11188
397	7385	11170
398	7404	11152
399	7423	11135
400	7440	11114
401	7457	11093
402	7474	11072
403	7490	11050
404	7535	11070
405	7572	11078
406	7596	11068
407	7624	11062
408	7660	11069
409	7689	11065
410	7717	11059
411	7739	11045
412	7761	11030
413	7780	11012
414	7800	10995
415	7818	10976
416	7839	10960
417	7857	10939
418	7873	10917
419	7892	10899
420	7908	10876
421	7923	10852
422	7939	10830
423	7955	10807
424	7971	10785
425	7987	10762
426	8003	10740
427	8018	10716
428	8033	10692
429	8048	10669
430	8065	10648
