iter	Passed	Remaining
0	19	28527
1	42	31807
2	63	31760
3	100	37632
4	126	37928
5	155	38701
6	183	39039
7	209	39093
8	238	39460
9	260	38833
10	290	39262
11	318	39447
12	331	37872
13	355	37784
14	373	36997
15	397	36913
16	435	38026
17	475	39163
18	517	40329
19	559	41405
20	575	40534
21	612	41162
22	656	42134
23	689	42400
24	724	42740
25	760	43120
26	774	42254
27	807	42427
28	835	42404
29	862	42284
30	887	42039
31	907	41643
32	930	41384
33	951	41031
34	975	40814
35	999	40656
36	1031	40769
37	1058	40707
38	1072	40167
39	1095	39996
40	1119	39823
41	1144	39713
42	1168	39605
43	1196	39606
44	1222	39533
45	1248	39468
46	1274	39391
47	1290	39051
48	1318	39045
49	1341	38902
50	1364	38758
51	1392	38789
52	1418	38724
53	1443	38651
54	1467	38563
55	1491	38451
56	1517	38409
57	1536	38201
58	1562	38151
59	1585	38045
60	1609	37956
61	1632	37870
62	1658	37831
63	1682	37747
64	1709	37735
65	1735	37711
66	1761	37667
67	1788	37673
68	1819	37739
69	1850	37795
70	1883	37902
71	1909	37863
72	1933	37794
73	1959	37767
74	1982	37663
75	2006	37592
76	2028	37495
77	2051	37406
78	2076	37357
79	2101	37292
80	2123	37205
81	2147	37140
82	2173	37098
83	2196	37032
84	2219	36942
85	2242	36874
86	2270	36871
87	2292	36780
88	2313	36676
89	2334	36572
90	2355	36476
91	2379	36418
92	2402	36342
93	2439	36482
94	2466	36481
95	2506	36658
96	2543	36791
97	2573	36822
98	2601	36820
99	2627	36779
100	2657	36804
101	2683	36781
102	2708	36735
103	2734	36707
104	2763	36715
105	2793	36731
106	2821	36725
107	2864	36919
108	2892	36911
109	2923	36947
110	2951	36933
111	2977	36897
112	3008	36931
113	3037	36927
114	3064	36910
115	3091	36879
116	3121	36892
117	3152	36919
118	3187	36989
119	3216	36988
120	3246	37001
121	3273	36979
122	3308	37042
123	3335	37009
124	3363	36995
125	3390	36976
126	3420	36974
127	3448	36959
128	3478	36970
129	3506	36955
130	3536	36954
131	3578	37086
132	3614	37154
133	3639	37102
134	3664	37051
135	3687	36978
136	3715	36964
137	3750	37017
138	3783	37042
139	3812	37033
140	3844	37057
141	3870	37010
142	3897	36989
143	3921	36928
144	3954	36955
145	3981	36925
146	4006	36877
147	4033	36847
148	4062	36831
149	4095	36859
150	4119	36799
151	4148	36788
152	4176	36769
153	4202	36732
154	4233	36734
155	4295	37004
156	4320	36960
157	4350	36951
158	4379	36940
159	4406	36906
160	4434	36883
161	4482	37021
162	4532	37181
163	4573	37255
164	4600	37223
165	4631	37217
166	4662	37219
167	4693	37209
168	4721	37186
169	4748	37150
170	4778	37136
171	4804	37092
172	4830	37053
173	4859	37033
174	4885	36989
175	4910	36944
176	4945	36961
177	4975	36951
178	5013	36997
179	5061	37116
180	5108	37228
181	5137	37202
182	5159	37128
183	5182	37064
184	5206	37005
185	5226	36925
186	5247	36845
187	5269	36777
188	5303	36788
189	5332	36768
190	5355	36704
191	5382	36670
192	5414	36670
193	5444	36651
194	5474	36634
195	5500	36595
196	5529	36573
197	5552	36514
198	5576	36459
199	5603	36421
200	5625	36356
201	5647	36292
202	5675	36264
203	5697	36196
204	5719	36133
205	5741	36063
206	5762	35993
207	5788	35957
208	5812	35901
209	5837	35857
210	5862	35812
211	5887	35768
212	5915	35741
213	5938	35687
214	5961	35630
215	5982	35565
216	6004	35498
217	6023	35424
218	6048	35381
219	6069	35311
220	6089	35243
221	6112	35190
222	6137	35148
223	6164	35113
224	6184	35045
225	6205	34982
226	6227	34922
227	6255	34897
228	6282	34871
229	6308	34831
230	6334	34796
231	6361	34770
232	6385	34724
233	6409	34676
234	6430	34613
235	6460	34603
236	6484	34557
237	6505	34497
238	6526	34434
239	6548	34378
240	6571	34328
241	6593	34274
242	6617	34231
243	6641	34187
244	6667	34154
245	6691	34109
246	6713	34054
247	6732	33990
248	6754	33935
249	6777	33888
250	6798	33830
251	6820	33778
252	6844	33733
253	6870	33702
254	6895	33664
255	6917	33615
256	6941	33574
257	6968	33548
258	6999	33539
259	7027	33514
260	7055	33494
261	7083	33469
262	7110	33443
263	7136	33413
264	7159	33363
265	7180	33311
266	7203	33267
267	7225	33215
268	7247	33166
269	7269	33114
270	7295	33083
271	7320	33047
272	7359	33076
273	7380	33021
274	7411	33016
275	7442	33006
276	7469	32978
277	7499	32963
278	7528	32949
279	7557	32928
280	7580	32886
281	7610	32872
282	7637	32845
283	7658	32791
284	7678	32736
285	7701	32691
286	7723	32641
287	7745	32594
288	7766	32542
289	7786	32490
290	7808	32440
291	7833	32405
292	7859	32374
293	7891	32370
294	7921	32358
295	7954	32353
296	7979	32319
297	8007	32298
298	8036	32279
299	8061	32247
300	8091	32230
301	8116	32197
302	8141	32163
303	8166	32129
304	8188	32083
305	8213	32047
306	8237	32011
307	8261	31972
308	8285	31934
309	8309	31899
310	8335	31868
311	8360	31834
312	8384	31795
313	8408	31758
314	8435	31731
315	8456	31686
316	8483	31657
317	8505	31612
318	8531	31584
319	8553	31539
320	8579	31511
321	8605	31482
322	8636	31469
323	8661	31439
324	8688	31412
325	8710	31368
326	8734	31330
327	8756	31286
328	8780	31250
329	8801	31206
330	8826	31172
331	8848	31131
332	8871	31089
333	8900	31070
334	8922	31027
335	8944	30986
336	8966	30942
337	8987	30899
338	9015	30874
339	9037	30834
340	9066	30813
341	9093	30790
342	9118	30758
343	9143	30725
344	9167	30691
345	9195	30668
346	9218	30629
347	9242	30594
348	9267	30563
349	9296	30545
350	9327	30533
351	9357	30516
352	9384	30493
353	9410	30465
354	9440	30447
355	9462	30406
356	9483	30362
357	9508	30331
358	9531	30292
359	9551	30245
360	9573	30204
361	9595	30165
362	9618	30128
363	9645	30103
364	9672	30078
365	9699	30052
366	9726	30027
367	9752	30000
368	9780	29977
369	9811	29966
370	9841	29949
371	9868	29923
372	9892	29891
373	9919	29864
374	9946	29839
375	9974	29816
376	10001	29791
377	10024	29755
378	10055	29743
379	10086	29727
380	10116	29712
381	10147	29699
382	10184	29702
383	10208	29668
384	10229	29624
385	10255	29597
386	10277	29557
387	10298	29515
388	10321	29479
389	10350	29457
390	10379	29439
391	10436	29499
392	10468	29486
393	10494	29457
394	10521	29433
395	10547	29405
396	10571	29371
397	10592	29328
398	10613	29286
399	10635	29248
400	10656	29204
401	10678	29165
402	10698	29121
403	10717	29075
404	10738	29033
405	10757	28987
406	10783	28958
407	10808	28927
408	10835	28904
409	10862	28877
410	10891	28857
411	10921	28841
412	10942	28800
413	10964	28761
414	10987	28726
415	11007	28683
416	11028	28642
417	11048	28598
418	11069	28558
419	11091	28521
420	11112	28480
421	11132	28438
422	11154	28399
423	11175	28360
424	11198	28325
425	11222	28292
426	11243	28252
427	11269	28225
428	11296	28202
429	11324	28180
430	11353	28160
431	11381	28136
432	11422	28146
433	11459	28146
434	11487	28124
435	11522	28119
436	11564	28129
437	11589	28100
438	11613	28068
439	11636	28033
440	11661	28003
441	11686	27974
442	11710	27941
443	11738	27918
444	11763	27888
445	11789	27861
446	11827	27861
